gene_id	gene_name	geneID	gene_id2	geneType	NTC	Lipo	PEI	ExFect	Infect	Elec
ENSG00000230415	LINC01786	101928895	ENSG00000230415.1	lncRNA	1.961506286	2.291427825	1.349575463	1.736671656	2.891149451	1.447507349
ENSG00000162572	SCNN1D	6339	ENSG00000162572.21	protein_coding	12.44712877	12.24972139	8.429384277	7.009131273	14.40391927	6.688067584
ENSG00000131584	ACAP3	116983	ENSG00000131584.19	protein_coding	61.09201261	59.35828559	54.07259024	42.78487025	56.66306338	41.2316149
ENSG00000169972	PUSL1	126789	ENSG00000169972.12	protein_coding	49.23161165	68.76729153	78.1632683	52.6224224	52.50681619	47.19660505
ENSG00000127054	INTS11	54973	ENSG00000127054.22	protein_coding	87.04086233	98.81378482	83.54610534	73.68124165	94.88477817	81.66062145
ENSG00000224051	CPTP	80772	ENSG00000224051.7	protein_coding	7.802367686	8.246218457	6.827839632	6.308698989	11.51705812	7.788759827
ENSG00000169962	TAS1R3	83756	ENSG00000169962.5	protein_coding	0.074191832	0.064594347	0.040155354	0.218526657	0.07988182	0.066347855
ENSG00000107404	DVL1	1855	ENSG00000107404.21	protein_coding	26.68924994	26.19294212	24.6413101	18.01697435	29.83338158	23.34777897
ENSG00000162576	MXRA8	54587	ENSG00000162576.17	protein_coding	1.145122921	1.85061556	2.400375366	1.634836851	2.098263499	0.881756131
ENSG00000175756	AURKAIP1	54998	ENSG00000175756.14	protein_coding	88.81525638	76.40424063	76.55556739	66.45216426	64.35285662	82.47119091
ENSG00000221978	CCNL2	81669	ENSG00000221978.13	protein_coding	106.7836209	117.9784294	104.8469175	77.08739735	96.88333215	84.26240181
ENSG00000224870	MRPL20-AS1	148413	ENSG00000224870.9	lncRNA	17.30550231	13.21975189	12.93202262	12.06003963	14.95992906	16.81333231
ENSG00000242485	MRPL20	55052	ENSG00000242485.6	protein_coding	22.58664094	15.44877826	17.72661227	23.39982383	15.05842499	22.78818558
ENSG00000272455	MRPL20-DT	116435301	ENSG00000272455.1	lncRNA	8.288415522	9.483333893	8.220683763	6.758998006	7.80667257	5.980022355
ENSG00000235098	ANKRD65	441869	ENSG00000235098.9	protein_coding	0.07292914	0.184566977	0.14171271	0.02197464	0.093322271	0.007889414
ENSG00000225905	ANKRD65-AS1	105378585	ENSG00000225905.1	lncRNA	0.01486929	0.059045674	0.066142831	0.042161135	0.038618096	0.010771951
ENSG00000205116	TMEM88B	643965	ENSG00000205116.4	protein_coding	0.073960182	0.048289287	0.026044604	0.023703299	0.085745454	0
ENSG00000225285	LINC01770	102724312	ENSG00000225285.1	lncRNA	0.511649105	0.378514224	0.613625702	0.183249374	0.717585797	0.259071628
ENSG00000179403	VWA1	64856	ENSG00000179403.12	protein_coding	12.25193461	11.20520735	9.002992593	6.735810766	15.85254549	11.0759793
ENSG00000215915	ATAD3C	219293	ENSG00000215915.10	protein_coding	0.341554614	0.325724308	0.299416592	0.210895759	0.567604802	0.212063134
ENSG00000160072	ATAD3B	83858	ENSG00000160072.20	protein_coding	50.87106964	39.80726727	48.66980306	64.11887719	38.12375064	63.04270371
ENSG00000197785	ATAD3A	55210	ENSG00000197785.14	protein_coding	83.04478717	72.93020924	74.43917941	77.36393984	66.19532251	93.05119619
ENSG00000205090	TMEM240	339453	ENSG00000205090.9	protein_coding	0.757881514	0.905463063	0.492730818	0.653424022	0.712378656	0.597596823
ENSG00000160075	SSU72	29101	ENSG00000160075.12	protein_coding	82.57078118	71.35010216	74.66812211	93.15923935	95.61395938	102.8752309
ENSG00000228594	FNDC10	643988	ENSG00000228594.4	protein_coding	20.78931422	13.42890581	11.72392413	14.08013959	24.81361567	22.43852892
ENSG00000197530	MIB2	142678	ENSG00000197530.13	protein_coding	90.68486719	127.9842628	103.4398637	87.68100534	111.8556579	68.40184999
ENSG00000189409	MMP23B	8510	ENSG00000189409.14	protein_coding	0.588524822	0.754172949	1.361097573	0.400948672	1.148162622	0.346382958
ENSG00000248333	CDK11B	984	ENSG00000248333.9	protein_coding	171.9703268	175.0774475	185.0859324	204.8299491	178.4506001	176.7297195
ENSG00000189339	SLC35E2B	728661	ENSG00000189339.12	protein_coding	54.89980824	65.73415139	54.69282617	38.40346311	63.96067083	50.24003649
ENSG00000008128	CDK11A	728642	ENSG00000008128.23	protein_coding	5.089148352	5.15890361	4.639896306	4.186313108	3.807390013	4.035301569
ENSG00000008130	NADK	65220	ENSG00000008130.15	protein_coding	138.5777323	146.0131924	136.090958	126.5423814	145.2059253	139.8652575
ENSG00000078369	GNB1	2782	ENSG00000078369.18	protein_coding	132.012598	137.1821003	138.9178235	143.0640458	159.3652375	150.3034985
ENSG00000231050	GNB1-DT	105378949	ENSG00000231050.3	lncRNA	1.104631082	0.624184155	0.376563724	0.849099555	0.840695288	1.139710561
ENSG00000169885	CALML6	163688	ENSG00000169885.10	protein_coding	0.90848564	0.889520122	0.435352903	0.851224888	0.712085689	0.661973871
ENSG00000178821	TMEM52	339456	ENSG00000178821.13	protein_coding	4.200252775	3.800241335	3.586235636	3.661862234	5.99871968	4.264919625
ENSG00000142609	CFAP74	85452	ENSG00000142609.20	protein_coding	0.291859093	0.326089513	0.19214418	0.173836815	0.383833006	0.162830388
ENSG00000187730	GABRD	2563	ENSG00000187730.9	protein_coding	2.045940604	2.961964416	3.220476961	0.802870226	2.856667412	1.170128281
ENSG00000226969	PRKCZ-DT	105378591	ENSG00000226969.1	lncRNA	0.109824837	0.083022548	0.111278665	0.056645016	0.088688226	0.058857721
ENSG00000067606	PRKCZ	5590	ENSG00000067606.17	protein_coding	34.78686744	43.24539418	43.63746189	40.59399033	51.75765669	31.02094686
ENSG00000182873	PRKCZ-AS1	100506504	ENSG00000182873.5	lncRNA	0.514783054	0.291110842	0.546895119	1.100323332	0.713285022	0.728516593
ENSG00000162585	FAAP20	199990	ENSG00000162585.17	protein_coding	88.78958695	82.94859028	82.37819126	79.07881777	98.26818425	84.31592914
ENSG00000157933	SKI	6497	ENSG00000157933.10	protein_coding	51.32385055	41.83908662	35.02392738	65.78690604	60.87806841	74.44186469
ENSG00000116151	MORN1	79906	ENSG00000116151.14	protein_coding	9.586568132	7.232905124	8.04300648	10.49870614	7.334384614	10.55442729
ENSG00000157916	RER1	11079	ENSG00000157916.20	protein_coding	153.6034807	156.5407806	154.5681853	148.8789666	151.3966586	153.7837897
ENSG00000157911	PEX10	5192	ENSG00000157911.11	protein_coding	39.19456186	29.17365431	32.92067138	35.23915685	35.76091819	39.21922868
ENSG00000149527	PLCH2	9651	ENSG00000149527.18	protein_coding	0.182756648	0.142453423	0.396361358	0.259254001	0.241898308	0.143064909
ENSG00000157881	PANK4	55229	ENSG00000157881.16	protein_coding	115.8993301	140.6966995	137.1244475	102.5770196	140.3888564	118.7600335
ENSG00000197921	HES5	388585	ENSG00000197921.6	protein_coding	0.753754489	0.880991573	0.649752148	0.698005968	1.276644477	0.961108305
ENSG00000238164	TNFRSF14-AS1	115110	ENSG00000238164.6	lncRNA	0	0	0.010407322	0	0	0
ENSG00000157873	TNFRSF14	8764	ENSG00000157873.18	protein_coding	0.074447838	0.087055534	0.089186863	0.043486051	0.075306305	0.035402458
ENSG00000157870	PRXL2B	127281	ENSG00000157870.17	protein_coding	6.796838858	5.77128532	5.014630127	5.277807896	7.751921483	6.84939114
ENSG00000142606	MMEL1	79258	ENSG00000142606.16	protein_coding	0.298965423	0.345012316	0.315232871	0.205719647	0.449621877	0.191992124
ENSG00000237058	MMEL1-AS1	105378597	ENSG00000237058.1	lncRNA	0	0	0	0	0	0
ENSG00000215912	TTC34	100287898	ENSG00000215912.13	protein_coding	2.539179797	0.868110385	1.145124314	2.128880738	1.91886986	2.59213106
ENSG00000169717	ACTRT2	140625	ENSG00000169717.7	protein_coding	0	0	0.029127719	0	0	0
ENSG00000177133	PRDM16-DT	440556	ENSG00000177133.14	lncRNA	4.201231888	2.974052235	2.055435172	2.396347373	3.971738002	3.998973377
ENSG00000142611	PRDM16	63976	ENSG00000142611.17	protein_coding	59.09841007	70.9739568	53.26003321	52.66553682	78.01648417	59.20476469
ENSG00000130762	ARHGEF16	27237	ENSG00000130762.15	protein_coding	7.048770736	6.150108953	5.960710929	3.630544523	9.109838645	5.400100236
ENSG00000162591	MEGF6	1953	ENSG00000162591.17	protein_coding	6.103942054	5.82550602	4.788350789	2.602158795	6.45801471	2.831436198
ENSG00000158109	TPRG1L	127262	ENSG00000158109.15	protein_coding	3.333718879	2.907941166	2.884132987	4.116474405	3.954552765	4.158336414
ENSG00000116213	WRAP73	49856	ENSG00000116213.16	protein_coding	18.90410682	19.69902353	18.91142564	15.35993035	18.33692259	17.83259919
ENSG00000078900	TP73	7161	ENSG00000078900.15	protein_coding	15.87536865	16.99356907	15.55393665	20.45991867	22.87780817	20.67587452
ENSG00000227589	TP73-AS3	105378610	ENSG00000227589.1	lncRNA	0	0	0	0	0	0
ENSG00000235131	TP73-AS2	117134600	ENSG00000235131.1	lncRNA	0.016328402	0.013036071	0.006372608	0.018443924	0.011137083	0
ENSG00000162592	CCDC27	148870	ENSG00000162592.10	protein_coding	0.048834922	0.076182794	0.063146087	0.063417703	0.073657055	0.032001071
ENSG00000235169	SMIM1	388588	ENSG00000235169.11	protein_coding	0.895716752	1.017889727	0.840027673	0.405365282	1.423811411	0.740881978
ENSG00000130764	LRRC47	57470	ENSG00000130764.10	protein_coding	44.78572906	41.77070439	46.84165192	49.22543542	46.4665284	56.21862562
ENSG00000116198	CEP104	9731	ENSG00000116198.14	protein_coding	15.85857641	16.55864715	19.78572555	19.08501213	17.56726601	17.67812386
ENSG00000169598	DFFB	1677	ENSG00000169598.17	protein_coding	28.66283663	24.44785654	23.92219537	25.45536033	25.9188181	33.36264133
ENSG00000198912	C1orf174	339448	ENSG00000198912.12	protein_coding	16.76179831	18.52391235	15.82676695	18.03065562	17.51147916	16.88495865
ENSG00000236423	LINC01134	100133612	ENSG00000236423.8	lncRNA	0.293517325	0.141509552	0.224247494	0.68894103	0.316081542	0.454197437
ENSG00000233304	LINC01346	728716	ENSG00000233304.7	lncRNA	0.007171491	0	0	0.007755626	0	0
ENSG00000226374	LINC01345	105376672	ENSG00000226374.3	lncRNA	0	0.001847439	0	0	0	0
ENSG00000284668	LINC02780	105376673	ENSG00000284668.2	lncRNA	0	0	0.049177022	0.011486682	0	0
ENSG00000235054	LINC01777	284661	ENSG00000235054.4	lncRNA	0	0	0	0	0	0
ENSG00000232596	LINC01646	105376679	ENSG00000232596.3	lncRNA	0	0	0	0	0	0
ENSG00000196581	AJAP1	55966	ENSG00000196581.11	protein_coding	0	0	0	0	0	0
ENSG00000284674	LINC02781	105376680	ENSG00000284674.1	lncRNA	0	0	0	0	0	0
ENSG00000231510	LINC02782	105376681	ENSG00000231510.1	lncRNA	0	0	0	0	0	0
ENSG00000131697	NPHP4	261734	ENSG00000131697.18	protein_coding	19.7928422	21.96724663	20.94120705	18.51108444	22.18165696	17.83537813
ENSG00000069424	KCNAB2	8514	ENSG00000069424.16	protein_coding	7.504318447	10.83560411	9.536995433	4.805508649	11.30363766	6.131421379
ENSG00000116254	CHD5	26038	ENSG00000116254.18	protein_coding	3.819953782	4.401347787	5.702355706	5.136880976	3.933488749	2.511938269
ENSG00000116251	RPL22	6146	ENSG00000116251.11	protein_coding	74.40439283	74.20191817	72.82765133	50.67965023	59.17171263	58.33286948
ENSG00000226944	RNF207-AS1	102724450	ENSG00000226944.1	lncRNA	0.7063129	1.034182584	0.728761591	0.224363616	0.595423663	0.325474382
ENSG00000158286	RNF207	388591	ENSG00000158286.13	protein_coding	9.030518039	6.533446879	4.543750974	4.418581938	8.55708224	6.204394285
ENSG00000116237	ICMT	23463	ENSG00000116237.16	protein_coding	94.38360355	81.42573323	88.42506519	89.21574961	81.44985636	93.57795649
ENSG00000225077	ICMT-DT	148645	ENSG00000225077.3	lncRNA	1.343969499	1.23769669	1.251445409	0.94977765	1.938278482	1.255855024
ENSG00000173673	HES3	390992	ENSG00000173673.8	protein_coding	0	0.043690347	0.098106658	0.062346534	0.019941138	0.172590221
ENSG00000158292	GPR153	387509	ENSG00000158292.7	protein_coding	14.53164301	16.04292494	13.27073183	9.252364808	23.22808431	11.64513659
ENSG00000097021	ACOT7	11332	ENSG00000097021.20	protein_coding	28.43873557	24.24714516	27.77685465	26.37316958	30.64993589	28.498278
ENSG00000069812	HES2	54626	ENSG00000069812.11	protein_coding	2.366540237	2.749045159	3.376944689	0.459179712	4.668489586	0.965242927
ENSG00000187017	ESPN	83715	ENSG00000187017.18	protein_coding	0.296753956	0.706392419	0.752162969	0.218246326	0.980385653	0.10040506
ENSG00000215788	TNFRSF25	8718	ENSG00000215788.11	protein_coding	4.782273078	6.094934437	4.793687675	2.164600831	6.274197204	2.765573774
ENSG00000171680	PLEKHG5	57449	ENSG00000171680.23	protein_coding	49.53957455	50.88059399	41.76005222	28.5321247	71.18964499	36.28743669
ENSG00000162408	NOL9	79707	ENSG00000162408.11	protein_coding	53.84230199	44.86947157	48.61807862	71.87820713	47.61461756	69.54759967
ENSG00000173662	TAS1R1	80835	ENSG00000173662.21	protein_coding	0.07940309	0.004911018	0.052012042	0.041928862	0.068421318	0.064982128
ENSG00000204859	ZBTB48	3104	ENSG00000204859.13	protein_coding	23.5058374	27.78281968	32.56604583	26.45756187	23.23781564	25.44863008
ENSG00000162413	KLHL21	9903	ENSG00000162413.17	protein_coding	13.86752542	12.77221953	12.44659929	17.7285497	17.81675568	20.74887869
ENSG00000116273	PHF13	148479	ENSG00000116273.6	protein_coding	59.80434744	61.17334615	55.41101924	50.62786492	61.46082996	60.52366043
ENSG00000041988	THAP3	90326	ENSG00000041988.16	protein_coding	20.09656259	29.09421179	30.52767055	17.28569437	22.16735959	16.58727764
ENSG00000007923	DNAJC11	55735	ENSG00000007923.17	protein_coding	23.88498587	19.65449516	21.54265351	28.82700374	21.09393659	30.65445847
ENSG00000228750	LINC01672	100505887	ENSG00000228750.7	lncRNA	0	0	0	0	0	0
ENSG00000237436	CAMTA1-DT	110841581	ENSG00000237436.1	lncRNA	1.134808788	0.878261989	0.746159178	0.527275943	0.683400637	0.898800211
ENSG00000171735	CAMTA1	23261	ENSG00000171735.20	protein_coding	10.54914452	11.72833788	11.66612759	9.249821312	9.879195329	7.98089844
ENSG00000237402	CAMTA1-IT1	100874340	ENSG00000237402.1	lncRNA	0.005519905	0	0.01014412	0.012470137	0	0.004490121
ENSG00000237728	CAMTA1-AS2	102725193	ENSG00000237728.2	lncRNA	0	0	0	0	0	0
ENSG00000225126	CAMTA1-AS1	101928836	ENSG00000225126.1	lncRNA	0	0	0.005274973	0	0	0
ENSG00000049245	VAMP3	9341	ENSG00000049245.13	protein_coding	42.58143818	37.60264359	37.92369328	44.97838786	45.31884779	48.15089414
ENSG00000049246	PER3	8863	ENSG00000049246.15	protein_coding	1.503138544	2.016083281	1.59121442	1.93459978	2.245763423	1.809260746
ENSG00000049247	UTS2	10911	ENSG00000049247.14	protein_coding	0.112947384	0.08643127	0	0.173830383	0.279073059	0.033167434
ENSG00000049249	TNFRSF9	3604	ENSG00000049249.10	protein_coding	0.188907573	0.690544466	0.42953883	0.449580908	0.091240138	0.083975693
ENSG00000116288	PARK7	11315	ENSG00000116288.13	protein_coding	123.512264	104.4474816	114.7832104	80.74711016	79.32100382	89.31764593
ENSG00000116285	ERRFI1	54206	ENSG00000116285.13	protein_coding	48.74502451	59.02801897	61.64676134	57.9663769	58.06801033	50.00982902
ENSG00000238290	ERRFI1-DT	121832806	ENSG00000238290.1	lncRNA	0	0.032199645	0.045351817	0.009890277	0.032800066	0.020693598
ENSG00000227634	LINC01714	102724539	ENSG00000227634.3	lncRNA	0	0	0	0	0	0
ENSG00000162426	SLC45A1	50651	ENSG00000162426.16	protein_coding	0.12719678	0.160146272	0.217964045	0.09629221	0.231557614	0.097221588
ENSG00000142599	RERE	473	ENSG00000142599.19	protein_coding	222.4734837	208.2857101	311.9302836	528.9940287	271.27007	305.6281164
ENSG00000232912	RERE-AS1	102724552	ENSG00000232912.6	lncRNA	0.016047294	0	0.012545651	0	0.014740051	0.005861295
ENSG00000074800	ENO1	2023	ENSG00000074800.16	protein_coding	929.1294204	859.5423131	932.459212	630.7394738	758.9103099	740.7488976
ENSG00000230679	ENO1-AS1	100505975	ENSG00000230679.1	lncRNA	0.693883058	0.199263603	0.539516192	0.33752122	0.336095173	0.502887256
ENSG00000131686	CA6	765	ENSG00000131686.15	protein_coding	0	0	0	0	0	0
ENSG00000197241	SLC2A7	155184	ENSG00000197241.4	protein_coding	0.049224556	0.021881383	0.014018944	0.00909492	0.080284079	0.038971694
ENSG00000142583	SLC2A5	6518	ENSG00000142583.18	protein_coding	0.152714463	0.041988276	0.214726908	0.234951891	0.100135175	0.047663965
ENSG00000180758	GPR157	80045	ENSG00000180758.12	protein_coding	3.799906139	4.912592313	4.107706768	2.82679058	5.240032247	3.461909301
ENSG00000228526	MIR34AHG	106614088	ENSG00000228526.8	lncRNA	5.430850423	4.119414214	6.311972074	4.997842246	4.368547837	3.271918953
ENSG00000234546	LNCTAM34A	102724571	ENSG00000234546.5	lncRNA	0.792566701	1.27211245	2.172215873	0.886869032	1.335600409	0.498777744
ENSG00000049239	H6PD	9563	ENSG00000049239.13	protein_coding	15.15579088	17.55072296	16.39215314	10.20859523	22.00973762	12.34669126
ENSG00000171621	SPSB1	80176	ENSG00000171621.14	protein_coding	3.663209589	3.469029482	3.557889345	3.728240923	4.571041779	3.733005268
ENSG00000284693	LINC02606	100506022	ENSG00000284693.2	lncRNA	0.637405034	0.549665321	1.09584571	0.609323507	0.737690417	0.670554397
ENSG00000171612	SLC25A33	84275	ENSG00000171612.7	protein_coding	27.27673665	21.39298189	24.90916038	24.04923433	21.4431613	26.78935578
ENSG00000188807	TMEM201	199953	ENSG00000188807.13	protein_coding	130.3801509	116.9279424	113.5277298	184.8784541	165.2210973	189.6645775
ENSG00000171608	PIK3CD	5293	ENSG00000171608.18	protein_coding	7.899911755	11.5551988	9.182603985	3.082982197	14.20027767	4.852911321
ENSG00000179840	PIK3CD-AS1	644997	ENSG00000179840.5	lncRNA	0	0	0	0	0	0
ENSG00000231789	PIK3CD-AS2	101929074	ENSG00000231789.4	lncRNA	17.56230069	21.58603809	19.60023101	11.72032893	23.15634541	13.66538583
ENSG00000171603	CLSTN1	22883	ENSG00000171603.18	protein_coding	236.6172932	258.5815192	203.4027937	239.1199862	294.7862763	300.0218856
ENSG00000178585	CTNNBIP1	56998	ENSG00000178585.15	protein_coding	7.152072882	8.638970403	7.876279215	5.303512288	9.137144393	6.23659439
ENSG00000162441	LZIC	84328	ENSG00000162441.12	protein_coding	12.63083425	13.26699806	13.7669587	15.26122676	13.6448535	11.56916939
ENSG00000173614	NMNAT1	64802	ENSG00000173614.14	protein_coding	1.129324777	1.633410761	1.302301261	1.255035279	1.386055006	0.790386556
ENSG00000162444	RBP7	116362	ENSG00000162444.12	protein_coding	1.332173949	2.057396244	2.027037421	0.57187214	2.008138908	0.847705022
ENSG00000130939	UBE4B	10277	ENSG00000130939.20	protein_coding	21.16415594	19.19019604	16.38035411	28.88988147	24.79901154	27.88713293
ENSG00000054523	KIF1B	23095	ENSG00000054523.20	protein_coding	252.3622587	260.4530681	285.3158589	259.6666155	235.851277	247.3869351
ENSG00000142657	PGD	5226	ENSG00000142657.21	protein_coding	217.8270326	164.7348352	158.3387741	195.3608541	186.7887301	211.0969405
ENSG00000251503	CENPS-CORT	100526739	ENSG00000251503.8	protein_coding	0.060549675	0.049031842	0.063829215	0.032917016	0.068729343	0.192451741
ENSG00000175279	CENPS	378708	ENSG00000175279.22	protein_coding	1.562365112	1.453155229	1.393981282	1.127467874	0.996861192	1.28349155
ENSG00000241563	CORT	1325	ENSG00000241563.4	protein_coding	0.145337477	0.155661018	0.102186207	0.152250319	0.11075814	0.229618972
ENSG00000160049	DFFA	1676	ENSG00000160049.12	protein_coding	111.3808187	133.6759845	109.0570594	96.25459249	130.0671566	89.81093976
ENSG00000142655	PEX14	5195	ENSG00000142655.13	protein_coding	35.37147351	35.63707821	38.06251705	32.8820118	38.76773062	34.80310805
ENSG00000130940	CASZ1	54897	ENSG00000130940.15	protein_coding	6.278325074	5.757441375	6.27954768	6.721129265	8.958183502	6.449397403
ENSG00000175262	C1orf127	148345	ENSG00000175262.15	protein_coding	0.363661805	0.227640476	0.138958494	0.142870194	0.598442188	0.131963261
ENSG00000120948	TARDBP	23435	ENSG00000120948.19	protein_coding	195.8656467	144.3399885	168.4618927	183.7901388	150.5463756	199.2848534
ENSG00000009724	MASP2	10747	ENSG00000009724.18	protein_coding	0.41001651	0.304040061	0.586021015	3.034562466	0.545576231	1.224575515
ENSG00000116649	SRM	6723	ENSG00000116649.10	protein_coding	73.47619463	64.81397118	56.83225724	113.2292041	71.31211663	113.4262218
ENSG00000171824	EXOSC10	5394	ENSG00000171824.14	protein_coding	71.33836898	71.63747827	68.99521314	77.82957526	79.76554574	81.87521903
ENSG00000230337	EXOSC10-AS1	105376736	ENSG00000230337.3	lncRNA	3.018074452	1.345126682	1.815730299	4.296184336	1.574976715	4.494654995
ENSG00000198793	MTOR	2475	ENSG00000198793.14	protein_coding	104.077603	99.48412459	119.5119817	173.2020143	124.227088	129.7520939
ENSG00000225602	MTOR-AS1	100873935	ENSG00000225602.5	lncRNA	0.004980056	0	0.031608723	0.009673129	0.009360129	0.010170535
ENSG00000171819	ANGPTL7	10218	ENSG00000171819.5	protein_coding	0	0	0	0.012106149	0	0
ENSG00000120942	UBIAD1	29914	ENSG00000120942.14	protein_coding	17.57817031	13.23820706	15.0470414	24.55913871	15.94704344	23.62878579
ENSG00000204624	DISP3	57540	ENSG00000204624.8	protein_coding	0.290005727	0.480501516	0.667499604	0.912897353	0.538996435	0.591815612
ENSG00000235643	LINC01647	101929181	ENSG00000235643.2	lncRNA	0	0.013824313	0.030263286	0.285393585	0.01261938	0.03397286
ENSG00000116661	FBXO2	26232	ENSG00000116661.11	protein_coding	3.282975818	4.43622977	2.639962472	0.782047849	6.712479579	1.530719637
ENSG00000132879	FBXO44	93611	ENSG00000132879.14	protein_coding	37.44132723	40.84588218	34.29384149	17.45243702	49.07493898	22.3052392
ENSG00000116670	MAD2L2	10459	ENSG00000116670.16	protein_coding	30.5348514	33.4330775	35.0657615	22.63877907	35.92193433	28.40052234
ENSG00000116663	FBXO6	26270	ENSG00000116663.11	protein_coding	0.263685786	0.426967028	0.949385459	0.333247775	0.687058836	0.083506154
ENSG00000162490	DRAXIN	374946	ENSG00000162490.7	protein_coding	0.310216413	0.350849435	1.169142221	0.084399361	0.74021458	0.108626996
ENSG00000177674	AGTRAP	57085	ENSG00000177674.16	protein_coding	18.27169962	16.47288628	16.344527	15.7139452	19.64417763	17.67142141
ENSG00000215910	C1orf167	284498	ENSG00000215910.8	protein_coding	0.448996009	0.414618562	0.385916696	0.132261777	0.735322149	0.202616015
ENSG00000177553	C1orf167-AS1	102724659	ENSG00000177553.6	lncRNA	0	0.010455462	0	0.013037328	0	0
ENSG00000177000	MTHFR	4524	ENSG00000177000.13	protein_coding	21.75619659	17.94543753	17.78231178	20.46747964	19.47075433	21.9942012
ENSG00000011021	CLCN6	1185	ENSG00000011021.23	protein_coding	20.64951951	20.13562512	20.04805358	32.89725277	21.31659768	24.71829139
ENSG00000175206	NPPA	4878	ENSG00000175206.11	protein_coding	0	0	0.006123766	0.014549894	0.004468195	0
ENSG00000120937	NPPB	4879	ENSG00000120937.9	protein_coding	0	0.059048768	0.081134632	0.057375808	0.105517749	0
ENSG00000116685	KIAA2013	90231	ENSG00000116685.16	protein_coding	21.83565062	20.83537873	20.79834282	21.64255368	26.1485112	26.3309548
